Player_name,Player_url,Nation,Pos,Age,MP,Starts,Min,Team
João Pedro,https://fbref.com/en/players/e8832875/Joao-Pedro,BRA,"FW,MF", 22,27,23,1948,Brighton
Yasin Ayari,https://fbref.com/en/players/f173303a/Yasin-Ayari,SWE,MF, 20,34,22,1965,Brighton
Jack Hinshelwood,https://fbref.com/en/players/e98211e7/Jack-Hinshelwood,ENG,"MF,DF", 19,26,22,1842,Brighton
Yankuba Minteh,https://fbref.com/en/players/c3cf087d/Yankuba-Minteh,GAM,"FW,MF", 20,32,20,1838,Brighton
Joël Veltman,https://fbref.com/en/players/dad4b285/Joel-Veltman,NED,DF, 32,21,19,1697,Brighton
Georginio Rutter,https://fbref.com/en/players/c64c01fc/Georginio-Rutter,FRA,"MF,FW", 22,28,19,1656,Brighton
Simon Adingra,https://fbref.com/en/players/4dcec659/Simon-Adingra,CIV,"FW,MF", 22,29,12,1097,Brighton
Matt O'Riley,https://fbref.com/en/players/fb495bb8/Matt-ORiley,DEN,MF, 23,21,11,938,Brighton
Adam Webster,https://fbref.com/en/players/c40b6180/Adam-Webster,ENG,DF, 29,14,11,887,Brighton
Mats Wieffer,https://fbref.com/en/players/4876c9ab/Mats-Wieffer,NED,"DF,MF", 24,25,10,1015,Brighton
Igor,https://fbref.com/en/players/a4e85758/Igor,BRA,DF, 26,13,10,961,Brighton
Tariq Lamptey,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey,GHA,DF, 23,15,10,860,Brighton
Brajan Gruda,https://fbref.com/en/players/ae9b998d/Brajan-Gruda,GER,"MF,FW", 20,21,8,687,Brighton
Ferdi Kadioglu,https://fbref.com/en/players/66c52a77/Ferdi-Kadioglu,TUR,"DF,MF", 24,6,5,385,Brighton
Diego Gómez,https://fbref.com/en/players/916728da/Diego-Gomez,PAR,MF, 21,16,4,516,Brighton
James Milner,https://fbref.com/en/players/2f90f6b8/James-Milner,ENG,MF, 38,4,3,170,Brighton
Julio Enciso,https://fbref.com/en/players/9cfbad36/Julio-Enciso,PAR,"MF,FW", 20,12,2,294,Brighton
Evan Ferguson,https://fbref.com/en/players/4596da74/Evan-Ferguson,IRL,FW, 19,13,2,246,Brighton
Jason Steele,https://fbref.com/en/players/28300a16/Jason-Steele,ENG,GK, 33,2,2,180,Brighton
Solly March,https://fbref.com/en/players/bb5fbd2b/Solly-March,ENG,"FW,MF", 30,8,1,168,Brighton
Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,SCO,MF, 23,2,1,98,Brighton
Eiran Cashin,https://fbref.com/en/players/f557c3b8/Eiran-Cashin,IRL,DF, 22,2,0,20,Brighton
Jakub Moder,https://fbref.com/en/players/f230bc30/Jakub-Moder,POL,MF, 25,4,0,11,Brighton
Jeremy Sarmiento,https://fbref.com/en/players/ac0d576d/Jeremy-Sarmiento,ECU,MF, 22,1,0,9,Brighton
Harry Howell,https://fbref.com/en/players/d8a7e52c/Harry-Howell,ENG,FW, 15,1,0,7,Brighton
Milos Kerkez,https://fbref.com/en/players/0ad53bdc/Milos-Kerkez,HUN,DF, 20,38,38,3336,Bournemouth
Antoine Semenyo,https://fbref.com/en/players/efd2ec23/Antoine-Semenyo,GHA,FW, 24,37,36,3203,Bournemouth
Illia Zabarnyi,https://fbref.com/en/players/88968486/Illia-Zabarnyi,UKR,DF, 21,36,35,3109,Bournemouth
Lewis Cook,https://fbref.com/en/players/2afc7272/Lewis-Cook,ENG,"MF,DF", 27,36,32,2978,Bournemouth
Kepa Arrizabalaga,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,ESP,GK, 29,31,31,2790,Bournemouth
Justin Kluivert,https://fbref.com/en/players/4c3a6744/Justin-Kluivert,NED,MF, 25,34,29,2340,Bournemouth
Evanilson,https://fbref.com/en/players/6f3cc2fe/Evanilson,BRA,FW, 24,31,28,2319,Bournemouth
Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,SCO,MF, 29,29,27,2117,Bournemouth
Dean Huijsen,https://fbref.com/en/players/87278bce/Dean-Huijsen,ESP,DF, 19,32,26,2427,Bournemouth
Dango Ouattara,https://fbref.com/en/players/2f9e4435/Dango-Ouattara,BFA,FW, 22,32,21,2005,Bournemouth
Tyler Adams,https://fbref.com/en/players/2b09d998/Tyler-Adams,USA,MF, 25,28,21,1965,Bournemouth
Marcus Tavernier,https://fbref.com/en/players/5c0da4a4/Marcus-Tavernier,ENG,"FW,MF", 25,29,20,1939,Bournemouth
Adam Smith,https://fbref.com/en/players/20b104bc/Adam-Smith,ENG,DF, 33,25,19,1590,Bournemouth
Marcos Senesi,https://fbref.com/en/players/35141f4c/Marcos-Senesi,ARG,DF, 27,17,13,1106,Bournemouth
David Brooks,https://fbref.com/en/players/dc4cae05/David-Brooks,WAL,"FW,MF", 27,29,9,960,Bournemouth
Alex Scott,https://fbref.com/en/players/104d0bb8/Alex-Scott,ENG,MF, 20,20,8,755,Bournemouth
Julian Araujo,https://fbref.com/en/players/8f4541c2/Julian-Araujo,MEX,DF, 22,12,7,497,Bournemouth
James Hill,https://fbref.com/en/players/69942fb3/James-Hill,ENG,DF, 22,10,6,448,Bournemouth
Mark Travers,https://fbref.com/en/players/fe558029/Mark-Travers,IRL,GK, 25,5,5,450,Bournemouth
Enes Ünal,https://fbref.com/en/players/f8eca1b6/Enes-Unal,TUR,"FW,MF", 27,17,2,345,Bournemouth
Neto,https://fbref.com/en/players/a9dc785c/Neto,BRA,GK, 35,2,2,180,Bournemouth
Luis Sinisterra,https://fbref.com/en/players/8e16dd48/Luis-Sinisterra,COL,"FW,MF", 25,12,1,236,Bournemouth
Philip Billing,https://fbref.com/en/players/d328a254/Philip-Billing,DEN,MF, 28,10,1,184,Bournemouth
Max Aarons,https://fbref.com/en/players/774cf58b/Max-Aarons,ENG,DF, 24,3,1,86,Bournemouth
Daniel Jebbison,https://fbref.com/en/players/03edb878/Daniel-Jebbison,ENG,FW, 20,16,0,119,Bournemouth
Ben Winterburn,https://fbref.com/en/players/ba31eee2/Ben-Winterburn,ENG,"MF,FW", 19,4,0,24,Bournemouth
Julio Soler,https://fbref.com/en/players/98c8559a/Julio-Soler,ARG,"DF,FW", 19,3,0,11,Bournemouth
Remy Rees-Dottin,https://fbref.com/en/players/1db75ccb/Remy-Rees-Dottin,ENG,FW, 18,1,0,1,Bournemouth
Zain Silcott-Duberry,https://fbref.com/en/players/2f5fa231/Zain-Silcott-Duberry,MSR,FW, 19,1,0,1,Bournemouth
Nathan Collins,https://fbref.com/en/players/a8c19eb8/Nathan-Collins,IRL,DF, 23,38,38,3420,Brentford
Bryan Mbeumo,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo,CMR,FW, 24,38,38,3414,Brentford
Mark Flekken,https://fbref.com/en/players/a92ab7be/Mark-Flekken,NED,GK, 31,37,37,3275,Brentford
Keane Lewis-Potter,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter,ENG,"DF,FW", 23,38,36,3093,Brentford
Yoane Wissa,https://fbref.com/en/players/2500cef9/Yoane-Wissa,COD,FW, 27,35,34,2919,Brentford
Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,DEN,"MF,FW", 24,38,34,2911,Brentford
Christian Nørgaard,https://fbref.com/en/players/df0a4c90/Christian-Norgaard,DEN,MF, 30,34,34,2819,Brentford
Sepp van den Berg,https://fbref.com/en/players/7bf9400b/Sepp-van-den-Berg,NED,DF, 22,31,29,2586,Brentford
Vitaly Janelt,https://fbref.com/en/players/8449d35e/Vitaly-Janelt,GER,MF, 26,32,27,2254,Brentford
Kevin Schade,https://fbref.com/en/players/52afb588/Kevin-Schade,GER,FW, 22,38,26,2293,Brentford
Ethan Pinnock,https://fbref.com/en/players/e541326e/Ethan-Pinnock,JAM,DF, 31,22,21,1913,Brentford
Kristoffer Ajer,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,NOR,DF, 26,24,17,1438,Brentford
Yehor Yarmoliuk,https://fbref.com/en/players/907a5d7c/Yehor-Yarmoliuk,UKR,MF, 20,31,15,1450,Brentford
Mads Roerslev,https://fbref.com/en/players/57c94db2/Mads-Roerslev,DEN,DF, 25,19,11,1101,Brentford
Mathias Jensen,https://fbref.com/en/players/0f134faf/Mathias-Jensen,DEN,MF, 28,24,8,862,Brentford
Michael Kayode,https://fbref.com/en/players/e19660a8/Michael-Kayode,ITA,DF, 20,12,6,528,Brentford
Fabio Carvalho,https://fbref.com/en/players/966e28d0/Fabio-Carvalho,POR,"FW,MF", 21,19,3,455,Brentford
Ben Mee,https://fbref.com/en/players/8df7a2fb/Ben-Mee,ENG,DF, 34,7,2,183,Brentford
Thiago,https://fbref.com/en/players/dc45ac24/Thiago,BRA,"FW,MF", 23,8,1,175,Brentford
Hákon Rafn Valdimarsson,https://fbref.com/en/players/57a34cf4/Hakon-Rafn-Valdimarsson,ISL,GK, 22,2,1,145,Brentford
Edmond-Paris Maghoma,https://fbref.com/en/players/8a3ddcd2/Edmond-Paris-Maghoma,ENG,"MF,FW", 23,8,0,119,Brentford
Rico Henry,https://fbref.com/en/players/8a3c1dc7/Rico-Henry,ENG,DF, 27,5,0,99,Brentford
Yunus Emre Konak,https://fbref.com/en/players/e02b5b36/Yunus-Emre-Konak,TUR,"FW,MF", 18,10,0,42,Brentford
Kim Jisoo,https://fbref.com/en/players/f4065d9e/Kim-Jisoo,KOR,DF, 19,3,0,30,Brentford
Frank Onyeka,https://fbref.com/en/players/2944f86f/Frank-Onyeka,NGA,MF, 26,2,0,25,Brentford
Gustavo Nunes,https://fbref.com/en/players/e504780f/Gustavo-Nunes,BRA,"FW,MF", 18,3,0,12,Brentford
Jayden Meghoma,https://fbref.com/en/players/07382f6c/Jayden-Meghoma,ENG,DF, 18,1,0,5,Brentford
Ryan Trevitt,https://fbref.com/en/players/732327ae/Ryan-Trevitt,ENG,MF, 21,1,0,4,Brentford
Bernd Leno,https://fbref.com/en/players/2628fd2b/Bernd-Leno,GER,GK,32,38,38,3420,Fulham
Antonee Robinson,https://fbref.com/en/players/289601e6/Antonee-Robinson,USA,DF,26,36,35,3167,Fulham
Alex Iwobi,https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi,NGA,"FW,MF",28,38,35,2981,Fulham
Calvin Bassey,https://fbref.com/en/players/a36524bf/Calvin-Bassey,NGA,DF,24,35,34,3074,Fulham
Raúl Jiménez,https://fbref.com/en/players/b561db50/Raul-Jimenez,MEX,FW,33,38,30,2494,Fulham
Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,DEN,DF,28,29,29,2583,Fulham
Saša Lukić,https://fbref.com/en/players/c6e8cf1f/Sasa-Lukic,SRB,MF,27,30,28,2344,Fulham
Sander Berge,https://fbref.com/en/players/d0b6129f/Sander-Berge,NOR,MF,26,31,26,2224,Fulham
Emile Smith Rowe,https://fbref.com/en/players/17695062/Emile-Smith-Rowe,ENG,MF,24,34,25,2043,Fulham
Andreas Pereira,https://fbref.com/en/players/6639e500/Andreas-Pereira,BRA,MF,28,33,25,2013,Fulham
Kenny Tete,https://fbref.com/en/players/77d7c96f/Kenny-Tete,NED,DF,28,22,21,1774,Fulham
Adama Traoré,https://fbref.com/en/players/9a28eba4/Adama-Traore,ESP,"FW,MF",28,36,18,1772,Fulham
Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,BEL,DF,28,24,17,1649,Fulham
Issa Diop,https://fbref.com/en/players/a712ca2b/Issa-Diop,FRA,DF,27,21,15,1339,Fulham
Harry Wilson,https://fbref.com/en/players/c6dc9ecd/Harry-Wilson,WAL,"FW,MF",27,25,12,1162,Fulham
Rodrigo Muniz,https://fbref.com/en/players/a755db8c/Rodrigo-Muniz,BRA,FW,23,31,8,964,Fulham
Ryan Sessegnon,https://fbref.com/en/players/6aa3e78b/Ryan-Sessegnon,ENG,"FW,DF",24,16,7,580,Fulham
Reiss Nelson,https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson,ENG,FW,24,11,5,487,Fulham
Jorge Cuenca,https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,ESP,DF,24,8,4,351,Fulham
Tom Cairney,https://fbref.com/en/players/a8748947/Tom-Cairney,SCO,MF,33,25,3,628,Fulham
Willian,https://fbref.com/en/players/8b9ebd03/Willian,BRA,"FW,MF",35,10,2,257,Fulham
Joshua King,https://fbref.com/en/players/86109b3b/Joshua-King,ENG,MF,17,8,1,130,Fulham
Harrison Reed,https://fbref.com/en/players/803ae100/Harrison-Reed,ENG,MF,29,12,0,108,Fulham
Martial Godo,https://fbref.com/en/players/e0eea46f/Martial-Godo,ENG,"FW,DF",21,2,0,24,Fulham
Carlos Vinícius,https://fbref.com/en/players/8b529245/Carlos-Vinicius,BRA,"MF,FW",29,3,0,16,Fulham
Jay Stansfield,https://fbref.com/en/players/b2626673/Jay-Stansfield,ENG,MF,21,1,0,1,Fulham
Dean Henderson,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,ENG,GK, 27,38,38,3420,Crystal Palace
Daniel Muñoz,https://fbref.com/en/players/778ef829/Daniel-Munoz,COL,DF, 28,37,37,3228,Crystal Palace
Tyrick Mitchell,https://fbref.com/en/players/5cbd1eb0/Tyrick-Mitchell,ENG,DF, 24,37,37,3092,Crystal Palace
Maxence Lacroix,https://fbref.com/en/players/277c49ed/Maxence-Lacroix,FRA,DF, 24,35,35,3116,Crystal Palace
Marc Guéhi,https://fbref.com/en/players/d0706b27/Marc-Guehi,ENG,DF, 24,34,34,3059,Crystal Palace
Jean-Philippe Mateta,https://fbref.com/en/players/50e6dc35/Jean-Philippe-Mateta,FRA,FW, 27,37,33,2648,Crystal Palace
Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,ENG,"MF,FW", 26,34,31,2588,Crystal Palace
Ismaila Sarr,https://fbref.com/en/players/bfdb33aa/Ismaila-Sarr,SEN,MF, 26,38,30,2711,Crystal Palace
Jefferson Lerma,https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma,COL,"MF,DF", 29,33,26,2274,Crystal Palace
Will Hughes,https://fbref.com/en/players/a0666d3e/Will-Hughes,ENG,MF, 29,33,24,2108,Crystal Palace
Chris Richards,https://fbref.com/en/players/0a3d6d2b/Chris-Richards,USA,DF, 24,24,22,1922,Crystal Palace
Adam Wharton,https://fbref.com/en/players/4b542852/Adam-Wharton,ENG,MF, 20,20,16,1318,Crystal Palace
Daichi Kamada,https://fbref.com/en/players/15b287da/Daichi-Kamada,JPN,MF, 27,34,15,1564,Crystal Palace
Trevoh Chalobah,https://fbref.com/en/players/5515376c/Trevoh-Chalobah,ENG,DF, 25,12,12,1060,Crystal Palace
Eddie Nketiah,https://fbref.com/en/players/a53649b7/Eddie-Nketiah,ENG,"FW,MF", 25,29,9,1034,Crystal Palace
Nathaniel Clyne,https://fbref.com/en/players/0442183b/Nathaniel-Clyne,ENG,"DF,MF", 33,13,5,483,Crystal Palace
Justin Devenny,https://fbref.com/en/players/6c2b66fc/Justin-Devenny,NIR,MF, 20,23,4,507,Crystal Palace
Cheick Doucouré,https://fbref.com/en/players/ce4f40c7/Cheick-Doucoure,MLI,MF, 24,13,4,452,Crystal Palace
Ben Chilwell,https://fbref.com/en/players/d2424d1b/Ben-Chilwell,ENG,DF, 27,8,1,259,Crystal Palace
Romain Esse,https://fbref.com/en/players/87189f25/Romain-Esse,ENG,MF, 19,7,1,138,Crystal Palace
Odsonne Édouard,https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,FRA,"MF,FW", 26,2,1,115,Crystal Palace
Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,DEN,DF, 28,1,1,90,Crystal Palace
Chadi Riad,https://fbref.com/en/players/b3b9b8b8/Chadi-Riad,MAR,DF, 21,1,1,90,Crystal Palace
Joel Ward,https://fbref.com/en/players/8a7ff278/Joel-Ward,ENG,DF, 34,2,1,71,Crystal Palace
Jeffrey Schlupp,https://fbref.com/en/players/3312f911/Jeffrey-Schlupp,GHA,"MF,DF", 31,12,0,103,Crystal Palace
Matheus França,https://fbref.com/en/players/077faf72/Matheus-Franca,BRA,"MF,FW", 20,4,0,55,Crystal Palace
Jordan Ayew,https://fbref.com/en/players/da052c14/Jordan-Ayew,GHA,"FW,MF", 32,1,0,21,Crystal Palace
Caleb Kporha,https://fbref.com/en/players/c80f8c9d/Caleb-Kporha,ENG,DF, 18,2,0,13,Crystal Palace
Asher Agbinone,https://fbref.com/en/players/6a10efb3/Asher-Agbinone,ENG,MF, 18,2,0,6,Crystal Palace
Jordan Pickford,https://fbref.com/en/players/4806ec67/Jordan-Pickford,ENG,GK, 30,38,38,3420,Everton
Vitaliy Mykolenko,https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko,UKR,DF, 25,35,35,3082,Everton
Idrissa Gana Gueye,https://fbref.com/en/players/72c812f3/Idrissa-Gana-Gueye,SEN,MF, 34,37,35,3063,Everton
James Tarkowski,https://fbref.com/en/players/15ea812b/James-Tarkowski,ENG,DF, 31,33,33,2922,Everton
Abdoulaye Doucouré,https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure,MLI,MF, 31,33,31,2564,Everton
Iliman Ndiaye,https://fbref.com/en/players/5ed97752/Iliman-Ndiaye,SEN,FW, 24,33,29,2430,Everton
Jarrad Branthwaite,https://fbref.com/en/players/c1949191/Jarrad-Branthwaite,ENG,DF, 22,30,28,2511,Everton
Jack Harrison,https://fbref.com/en/players/aa849a12/Jack-Harrison,ENG,FW, 27,34,24,2076,Everton
Ashley Young,https://fbref.com/en/players/be927d03/Ashley-Young,ENG,DF, 39,32,19,1875,Everton
Dominic Calvert-Lewin,https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin,ENG,FW, 27,26,19,1609,Everton
James Garner,https://fbref.com/en/players/4e015693/James-Garner,ENG,"MF,DF", 23,21,17,1594,Everton
Jake O'Brien,https://fbref.com/en/players/25f2ef01/Jake-OBrien,IRL,DF, 23,20,17,1571,Everton
Beto,https://fbref.com/en/players/ed5c0319/Beto,GNB,FW, 26,30,15,1534,Everton
Dwight McNeil,https://fbref.com/en/players/fc15fb84/Dwight-McNeil,ENG,"MF,FW", 24,21,15,1371,Everton
Jesper Lindstrøm,https://fbref.com/en/players/37dc1a48/Jesper-Lindstrom,DEN,FW, 24,25,15,1239,Everton
Orel Mangala,https://fbref.com/en/players/a572e291/Orel-Mangala,BEL,MF, 26,19,14,1261,Everton
Michael Keane,https://fbref.com/en/players/c5b7c315/Michael-Keane,ENG,DF, 31,14,11,1049,Everton
Carlos Alcaraz,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,ARG,"FW,MF", 21,15,7,764,Everton
Tim Iroegbunam,https://fbref.com/en/players/84c5ceea/Tim-Iroegbunam,ENG,MF, 21,18,5,574,Everton
Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,ALB,FW, 22,10,4,334,Everton
Nathan Patterson,https://fbref.com/en/players/230f0471/Nathan-Patterson,SCO,DF, 22,10,3,347,Everton
Séamus Coleman,https://fbref.com/en/players/0420d84f/Seamus-Coleman,IRL,DF, 35,5,3,215,Everton
Roman Dixon,https://fbref.com/en/players/6fba4dba/Roman-Dixon,ENG,DF, 19,1,1,90,Everton
Harrison Armstrong,https://fbref.com/en/players/de59e609/Harrison-Armstrong,ENG,MF, 17,3,0,48,Everton
Youssef Chermiti,https://fbref.com/en/players/890f108d/Youssef-Chermiti,POR,"FW,MF", 20,4,0,45,Everton
Mason Holgate,https://fbref.com/en/players/d0042ab9/Mason-Holgate,JAM,"FW,DF", 27,1,0,6,Everton
Max Kilman,https://fbref.com/en/players/d0f72bf1/Max-Kilman,ENG,DF,27,38,38,3348,West Ham
Aaron Wan-Bissaka,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,ENG,DF,26,36,35,3154,West Ham
Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,ENG,"FW,MF",27,34,34,2973,West Ham
Mohammed Kudus,https://fbref.com/en/players/b62878a5/Mohammed-Kudus,GHA,"FW,MF",23,32,31,2590,West Ham
Tomáš Souček,https://fbref.com/en/players/6613c819/Tomas-Soucek,CZE,MF,29,35,30,2567,West Ham
Lucas Paquetá,https://fbref.com/en/players/9b6f7fd5/Lucas-Paqueta,BRA,"MF,FW",26,33,27,2380,West Ham
Emerson Palmieri,https://fbref.com/en/players/e0bc6fdc/Emerson-Palmieri,ITA,DF,29,31,26,2113,West Ham
Alphonse Areola,https://fbref.com/en/players/2f965a72/Alphonse-Areola,FRA,GK,31,26,25,2260,West Ham
Konstantinos Mavropanos,https://fbref.com/en/players/00963611/Konstantinos-Mavropanos,GRE,DF,26,33,21,2045,West Ham
Jean-Clair Todibo,https://fbref.com/en/players/88f130ed/Jean-Clair-Todibo,FRA,DF,24,27,20,1825,West Ham
Edson Álvarez,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,MEX,MF,26,28,20,1772,West Ham
Guido Rodríguez,https://fbref.com/en/players/34e393f2/Guido-Rodriguez,ARG,MF,30,23,16,1149,West Ham
Carlos Soler,https://fbref.com/en/players/fed17f5a/Carlos-Soler,ESP,"MF,FW",27,31,14,1409,West Ham
Łukasz Fabiański,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,POL,GK,39,14,13,1160,West Ham
James Ward-Prowse,https://fbref.com/en/players/3515d404/James-Ward-Prowse,ENG,MF,29,15,12,1039,West Ham
Vladimír Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,CZE,DF,31,22,11,1067,West Ham
Michail Antonio,https://fbref.com/en/players/ac05f970/Michail-Antonio,JAM,FW,34,14,11,836,West Ham
Aaron Cresswell,https://fbref.com/en/players/4f974391/Aaron-Cresswell,ENG,DF,34,18,10,824,West Ham
Crysencio Summerville,https://fbref.com/en/players/df04eb4b/Crysencio-Summerville,NED,"FW,MF",22,19,7,786,West Ham
Oliver Scarles,https://fbref.com/en/players/242e5e6d/Oliver-Scarles,ENG,"DF,FW",18,15,7,665,West Ham
Niclas Füllkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,GER,FW,31,18,6,790,West Ham
Danny Ings,https://fbref.com/en/players/07802f7f/Danny-Ings,ENG,"FW,MF",32,15,1,284,West Ham
Andy Irving,https://fbref.com/en/players/b1be9fc0/Andy-Irving,SCO,MF,24,10,1,166,West Ham
Evan Ferguson,https://fbref.com/en/players/4596da74/Evan-Ferguson,IRL,FW,19,8,1,156,West Ham
Luis Guilherme,https://fbref.com/en/players/b7672d43/Luis-Guilherme,BRA,"MF,FW",18,12,1,150,West Ham
Lewis Orford,https://fbref.com/en/players/40aaa04c/Lewis-Orford,ENG,MF,18,2,0,49,West Ham
Kaelan Casey,https://fbref.com/en/players/cd4b2c5f/Kaelan-Casey,ENG,DF,19,1,0,1,West Ham
Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,POR,MF, 29,36,35,3018,Manchester Utd
André Onana,https://fbref.com/en/players/e9c0c1b2/Andre-Onana,CMR,GK, 28,34,34,3060,Manchester Utd
Noussair Mazraoui,https://fbref.com/en/players/b74277a0/Noussair-Mazraoui,MAR,DF, 26,37,34,2838,Manchester Utd
Diogo Dalot,https://fbref.com/en/players/d9565625/Diogo-Dalot,POR,DF, 25,33,31,2814,Manchester Utd
